,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
2792,https://www.truckpad.com.br/fretes/carga-de-sp/para-pr/veiculo-truck/carroceria-aberto-grade-baixa/carga-completa/empresa-manetoni-solucoes-em-aco/dxibc4vavflmhf8ribsrapqpb,SP - Piracicaba,PR - Londrina,04/10,04/10,1.396 km,"12,3 Ton",['Truck'],10
2793,"https://www.truckpad.com.br/fretes/carga-de-sc/para-sp/veiculo-bi-truck,rodotrem,bitrem,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-mundial-log/4f82iqkpdfe4dd6vkca5x8wb8",SC - Irani,SP - São Paulo,03/10,03/10,745 km,"27,0 Ton","['Bi-Truck', 'Rodotrem', 'Bitrem', 'Carreta LS Trucada']",11
2794,"https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bi-truck,carreta-toco,bitrem,carreta-ls-trucada/carroceria-aberto-grade-baixa,bau,frigorifico,refrigerado/carga-completa/empresa-ibitrans-transportes-rodoviarios-de-cargas-ltda/cq2cthdgamd6ymb3sdm9sudup",PR - Ibiporã,PR - Pato Branco,03/10,03/10,509 km,"20,0 Ton","['Bi-Truck', 'Carreta Toco', 'Bitrem', 'Carreta LS Trucada']",12
2795,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,toco,truck,toco-3-4/carroceria-bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/elxzq6xfiaizu55qwr12bbtsk",SP - Guarulhos,SP - Amparo,03/10,03/10,118 km,"1,8 Ton","['Carreta Toco', 'Toco', 'Truck', 'Toco 3/4']",13
2796,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,toco,truck,toco-3-4/carroceria-bau,sider/carga-complemento/empresa-fs4-logistica-transportes-eireli/be128xiu5saknbn9yqglfn267",SP - Guarulhos,SP - Altinópolis,03/10,03/10,343 km,600 kg,"['Carreta Toco', 'Toco', 'Truck', 'Toco 3/4']",14
2797,"https://www.truckpad.com.br/fretes/carga-de-mg/para-sp/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/1t5ijp4ts12isca90hsy4sj0m",MG - Juiz de Fora,SP - Rio das Pedras,03/10,03/10,590 km,"25,0 Ton",['Carreta Toco'],15
2798,"https://www.truckpad.com.br/fretes/carga-de-es/para-sp/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-agregamento/empresa-barone-distribuidora-de-produtos-tecnicos/d2auta33q941iovvnyubtmu5k",ES - Cachoeiro de Itapemirim,SP - São Paulo,04/10,04/10,749 km,"32,0 Ton",['Carreta LS Trucada'],16
2799,"https://www.truckpad.com.br/fretes/carga-de-rs/para-sp/veiculo-truck/carroceria-bau,sider/carga-completa/empresa-grupo-mariel/9w111m1806v4ytwcg507j562j",RS - Novo Hamburgo,SP - Santos,03/10,03/10,1.051 km,"5.000,0 Ton",['Truck'],17
2800,"https://www.truckpad.com.br/fretes/carga-de-rj/para-rj/veiculo-carreta-toco/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/f32kf267xuynnzboci8kkt5tq",RJ - Barra Mansa,RJ - Rio de Janeiro,02/10,02/10,129 km,"25,0 Ton",['Carreta Toco'],18
2801,"https://www.truckpad.com.br/fretes/carga-de-rj/para-sp/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-arcelor-mittal-brasil/axq014202k9yy5razsmaw7cio",RJ - Barra Mansa,SP - São José do Rio Preto,02/10,02/10,715 km,"30,0 Ton",['Carreta LS Trucada'],19
