,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
637,"https://www.truckpad.com.br/fretes/carga-de-pr/para-go/veiculo-bi-truck,carreta-toco,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-cascao-implementos-rodoagro/2pgkd5zf8bsh1yr55xhm3dhcp",PR - Araucária,GO - Morrinhos,03/10,03/10,1.065 km,"21,0 Ton","['Bi-Truck', 'Carreta Toco', 'Carreta LS Trucada']",8
636,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-so-cavalo-mecanico-4x2,so-cavalo-mecanico-ls/carroceria-apenas-cavalo/carga-agregamento/empresa-vcc-transportes-e-logistica-ltda/zzoyxqkygzvfo96sqyk35wg0",SP - São Paulo,RJ - Rio de Janeiro,05/10,05/10,432 km,"22.000,0 Ton","['Só Cavalo Mecânico (4x2)', 'Só Cavalo Mecânico LS']",9
635,"https://www.truckpad.com.br/fretes/carga-de-sp/para-ms/veiculo-truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-completa/empresa-le-transportes-ltda-me/743k8narsg2a8btfbr5xtr7iw",SP - São Paulo,MS - Terenos,03/10,03/10,1.019 km,"8,0 Ton",['Truck'],10
634,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau/carga-completa/empresa-claro-transportes-e-logistica-ltda/cou5zvfi6hbyr2u9yb1dnhhfb",SP - Guarulhos,SP - São Paulo,04/10,04/10,18 km,"20,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",11
633,"https://www.truckpad.com.br/fretes/carga-de-mg/para-es/veiculo-carreta-toco,bitrem,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,prancha/carga-complemento/empresa-barra/pkhl7ri5mmhml73vjwm5cc5r",MG - Uberlândia,ES - Viana,05/10,05/10,1.026 km,"1,7 Ton","['Carreta Toco', 'Bitrem', 'Carreta LS Trucada']",12
632,"https://www.truckpad.com.br/fretes/carga-de-sp/para-pe/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau,sider/carga-completa/empresa-dslog/asflyf5ydijiebxb8z21shucd",SP - São Paulo,PE - Recife,03/10,03/10,2.608 km,"18,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",13
631,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-completa/empresa-endomazzi-contentores/a8efohm8kl0lit0qqkgejxtmy",SP - Araçatuba,SP - Ribeirão Preto,03/10,03/10,332 km,"2,9 Ton","['Carreta Toco', 'Carreta LS Trucada']",14
630,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau/carga-completa/empresa-claro-transportes-e-logistica-ltda/cb95da11gmteuo8vhcvtw8zq0",SP - Guarulhos,SP - São Paulo,03/10,03/10,18 km,"20,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",15
629,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-truck/carroceria-aberto-grade-baixa,graneleiro-grade-alta,sider/carga-completa/empresa-js-comercio-de-transportes-ltda/b6yn5rb71awlqjxd5bxaythar",PR - Guarapuava,RS - Porto Alegre,03/10,03/10,745 km,"14,5 Ton",['Truck'],16
628,"https://www.truckpad.com.br/fretes/carga-de-pr/para-rs/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,sider/carga-completa/empresa-js-comercio-de-transportes-ltda/5tfducotjrzy3xatonrefku35",PR - Guarapuava,RS - Porto Alegre,03/10,03/10,745 km,"31,0 Ton",['Carreta LS Trucada'],17
627,https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bitrem/carroceria-florestal/carga-completa/empresa-klabin/59m2xd3jb2gcjw7807h5scopx,PR - Ponta Grossa,PR - Ortigueira,03/10,03/10,140 km,"37,0 Ton",['Bitrem'],18
626,https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bitrem/carroceria-florestal/carga-completa/empresa-klabin/d5jshpfbyeph6q921fl3ovao5,PR - Palmeira,PR - Ortigueira,03/10,03/10,185 km,"37,0 Ton",['Bitrem'],19
625,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rs/veiculo-carreta-toco,rodotrem,bitrem,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,sider/carga-completa/empresa-saratoga-transportes-ltda/c1prf3nqrlmwloke3zpkq6orz",SP - Agudos,RS - Taquari,03/10,03/10,1.165 km,"33,5 Ton","['Carreta Toco', 'Rodotrem', 'Bitrem', 'Carreta LS Trucada']",1
624,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rs/veiculo-carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,sider/carga-completa/empresa-saratoga-transportes-ltda/e65nu9ifiyd44izx49sitdfhu",SP - Agudos,RS - Tupandi,03/10,03/10,1.095 km,"33,5 Ton",['Carreta LS Trucada'],2
623,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-toco,truck,toco-3-4/carroceria-bau,sider/carga-completa/empresa-mtorres-pack/9p18mg7a3esgioapnr7104317",SP - São Paulo,SP - Osasco,01/10,01/10,38 km,"3,6 Ton","['Toco', 'Truck', 'Toco 3/4']",3
622,"https://www.truckpad.com.br/fretes/carga-de-mg/para-rj/veiculo-truck/carroceria-aberto-grade-baixa,bau,sider/carga-completa/empresa-avana/37js60d2kicxncxsnvwhinhjg",MG - Arcos,RJ - Três Rios,03/10,03/10,443 km,"14,0 Ton",['Truck'],4
621,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-truck/carroceria-bau/carga-agregamento/empresa-diavanti-solucoes-logisticas-ltda/77lh5n15irxj9tm7t04idy599,SP - Itapevi,SP - São Paulo,03/10,03/10,39 km,"14,0 Ton",['Truck'],5
620,https://www.truckpad.com.br/fretes/carga-de-pr/para-ms/veiculo-carreta-ls-trucada/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/di0sgrhdooyhjvsykoylydorb,PR - Wenceslau Braz,MS - Ponta Porã,--,--,818 km,A combinar,['Carreta LS Trucada'],6
619,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-bi-truck,carreta-toco,truck,rodotrem,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/bn0l67p36of0o4mpzyfdl79ob",SP - Jundiaí,SP - Glicério,--,--,447 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Rodotrem', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",7
618,"https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-carreta-toco,bitrem,carreta-ls-trucada/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/8wv973lkgaetprx2thkk8bhw3",PR - Cornélio Procópio,PR - Lapa,--,--,391 km,A combinar,"['Carreta Toco', 'Bitrem', 'Carreta LS Trucada']",8
617,"https://www.truckpad.com.br/fretes/carga-de-pr/para-pr/veiculo-bi-truck,carreta-toco,truck,rodotrem,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/bdmpkwfzyu6x0wvmrn911i7iw",PR - Ibaiti,PR - Ibaiti,--,--,382 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Rodotrem', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",9
616,"https://www.truckpad.com.br/fretes/carga-de-ba/para-ba/veiculo-bi-truck,carreta-toco,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/d8o7wywmg45a4c4iyy3ynnnc4",BA - São Desidério,BA - Salvador,--,--,866 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",10
